text,label
cuanto fue el pib,value
cual fue el valor del pib,value
dame el dato del pib,value
cual es la cifra del pib,value
cuanto crecio el pib,value
cual fue el crecimiento del pib,value
cuanto aumento el pib,value
resultado del pib,value
dato reciente del pib,value
ultimo dato del pib,value
pib del ultimo periodo,value
pib mas reciente,value
cual fue el pib de 2023,value
cual fue el pib de 2024,value
dame el pib del ano 2022,value
muestrame el pib anual entre 2018 y 2023,value
quiero la serie del pib desde 2010 hasta 2024,value
dame el pib trimestral de 2024,value
cual fue la variacion t t menos 1 del pib,value
dame la variacion respecto al periodo anterior del pib,value
muestrame el crecimiento en el margen del pib,value
cual fue la variacion interanual del pib,value
dame la variacion anual del pib,value
dame el pib por actividad economica,value
muestrame el desglose del pib por actividad,value
quiero las cifras del pib por sector economico,value
dame el detalle por actividad del pib,value
dame la composicion del pib por componentes del gasto,value
muestrame el desglose del pib por gasto,value
quiero las cifras del pib por componentes de gasto,value
cual fue el aporte del consumo al pib,value
dame la contribucion de la inversion al pib,value
cual fue la incidencia por sector en el pib,value
muestrame que actividades aportaron al pib,value
dame la contribucion por actividad al pib,value
cual fue el pib regional de valparaiso,value
dame el pibr de la region metropolitana,value
muestrame la cifra del pibr de antofagasta,value
quiero el valor del pibr para bio bio,value
dame el dato del pibr de o'higgins,value
dame la variacion del pibr por region,value
cual fue el crecimiento del pibr por regiones,value
muestrame el cambio anual del pibr por region,value
quiero las cifras regionales del pib,value
dame el desglose regional del pib,value
cuanto fue el imacec,value
cual fue el valor del imacec,value
dame el dato del imacec,value
cual es la cifra del imacec,value
resultado del imacec,value
numero del imacec,value
valor observado del imacec,value
cuanto marco el imacec,value
nivel del imacec,value
imacec del ultimo mes,value
imacec mas reciente,value
ultimo imacec,value
dame el ultimo dato del imacec,value
necesito la ultima cifra del imacec,value
muestrame el valor mas reciente del imacec,value
cual es el dato mas actual del imacec,value
cual fue el imacec de enero 2024,value
dame el imacec de marzo 2023,value
muestrame la cifra del imacec en julio 2022,value
quiero el dato del imacec de noviembre 2021,value
cual fue el valor del imacec en diciembre 2020,value
cual fue la variacion interanual del imacec,value
dame la variacion anual del imacec,value
cuanto vario el imacec respecto al ano anterior,value
muestrame el crecimiento interanual del imacec,value
dame la variacion mensual del imacec,value
cual fue el cambio mes a mes del imacec,value
muestrame el crecimiento mensual del imacec,value
quiero la aceleracion mensual del imacec,value
dame la variacion en el margen del imacec,value
dame el imacec desestacionalizado mas reciente,value
cual fue el ultimo imacec con ajuste estacional,value
muestrame la cifra del imacec sa,value
quiero el valor del imacec ajustado por estacionalidad,value
dame el dato mas reciente del imacec corregido por estacionalidad,value
dame el imacec original mas reciente,value
cual fue el ultimo imacec sin ajuste estacional,value
muestrame la cifra del imacec nsa,value
quiero el valor del imacec serie original,value
dame el dato mas reciente del imacec sin desestacionalizar,value
cual fue el imacec minero,value
dame el ultimo imacec no minero,value
muestrame la variacion interanual del imacec minero,value
quiero el dato del imacec no minero desestacionalizado,value
cual fue el crecimiento en el margen del imacec no minero,value
muestrame el imacec por actividad economica,value
quiero el desglose del imacec por sectores,value
dame las cifras del imacec por actividad,value
cual fue el imacec por sector economico,value
muestrame el detalle de actividades del imacec,value
cual fue el crecimiento economico,value
cuanto crecio la economia,value
cual fue la variacion economica,value
dato del crecimiento economico,value
resultado del crecimiento economico,value
cifra del crecimiento economico,value
cuanto aumento la economia,value
crecimiento de la actividad economica,value
variacion de la economia,value
actividad economica observada,value
y ahora dame su cifra,value
ahora dame su cifra,value
ahora dame el valor,value
ahora quiero el valor de eso,value
dame la cifra de lo anterior,value
dame el dato de lo anterior,value
dame el valor de lo anterior,value
cual fue el valor de lo anterior,value
cual fue la cifra de eso,value
cual fue el dato de eso,value
y cual fue el resultado,value
y el resultado de eso,value
dame ese numero,value
dame ese valor,value
dame ese dato,value
quiero la lectura de lo anterior,value
dame la lectura mas reciente de eso,value
cual es la lectura mas reciente de lo anterior,value
cual es el ultimo dato de eso,value
cual es la ultima cifra de eso,value
cual fue el ultimo valor de eso,value
dame el dato mas reciente de eso,value
muestrame la cifra mas reciente de eso,value
traeme la ultima lectura de eso,value
y ahora su variacion,value
dame la variacion de eso,value
cual fue la variacion de lo anterior,value
cual fue la variacion mas reciente de eso,value
y la variacion interanual de eso,value
dame la variacion interanual de lo anterior,value
cual fue el cambio interanual de eso,value
y la variacion mensual de eso,value
dame la variacion mensual de lo anterior,value
cual fue el cambio mes a mes de eso,value
y la variacion en el margen de eso,value
dame el crecimiento en el margen de lo anterior,value
dame la variacion respecto al periodo anterior de eso,value
cual fue el crecimiento de eso,value
y cuanto crecio eso,value
dame el crecimiento de lo anterior,value
cual fue el aumento de eso,value
en cuanto aumento eso,value
en cuanto vario eso,value
cuanto marco eso,value
que cifra mostro eso,value
que resultado marco eso,value
que numero registro eso,value
como salio eso,value
como vino eso,value
dame la cifra de ese indicador,value
dame el dato de ese indicador,value
cual fue el valor de ese indicador,value
dame la cifra de esa serie,value
